Actual Genre,Predicted Genre,Description
 short , drama ,story based emotion fear love people afraid value question everything good bad created relate mystery love sure express
 comedy , drama ,brash young manabouttown attracted broadway actress flirtatious way turn make want change life take room quite boardinghouse caters theatrical people soon meet rose working girl fired previous jail sentence decides help
 short , comedy ,extremely thin narrative strain brother sister reuniting father funeral shrouded cloud strange sometimes bizarre dream random vision
 drama , documentary ,glen glenda tell two story one glen secretly dress woman afraid tell fiance barbara alan pseudohermaphrodite undergoes painful operation become woman story told dr alton also delivers earnest lecture tolerance understanding second narrator called scientist whose commentary action contains philosophical pronouncement fact movie also flashbackswithinflashbacks strange dream sequence meet insp warren whose investigation transvestite suicide lead learn men womens clothes johnny whose wife left discovered wear shes away barbara oblivious glen desire wear angora sweater satan invades glen nightmare others meanwhile scientist offer cryptic advice beware warns beware big green dragon sits doorstep beware take care beware upon discovering suicide known transvestite police inspector seek enlightenment psychiatrist familiar phenomenon psychiatrist tell two tale glen married barbara must find way tell desire wear angora sweater crossdressing need general another story alan decides physically become female via surgery based contemporary story christine jorgensen throughout film scientist inanely babble life death order somehow elucidate story crossdressing bmovie auteur edward wood jr unleashed upon unsuspecting world purportedly sincere attempt understanding transvestism rendered unintelligible ed wood unfathomable script bizarre pantomimeesque vignette visibly morphineaddled bela lugosi shouting big green dragon
 action , documentary ,every spy beginning colonel aleksandr talanov kgb moment occurs one summery night costa del sol height cold war tension american soviet signatory biological weapon treaty united state already destroyed military stockpile weaponized pathogen soviet union however responded differently signing treaty created network fortyseven topsecret production facility spread across russia called biopreparat largest biological weapon program earth one alarmed growing number soviet scientist one scientist decided defect talanov assigned task bringing back tracking scientist family spain talanov betrayed scientist family murdered survivor teenage daughter noya short noyabr english november happens impulsive moment change course talanovs life placing desperate race save noya deadliest vicious adversary ever encounter people kgb
 documentary , drama ,postsoviet russia troubled underage boy caught various offense stealing multiple murder committed year closed state reform school live military type regime starting day open air exercise making bed absurdly meticulous rule etcetera ironically many come poor andor abusive often broken family structured life three square meal warm dorm regular class feel like better deal actually dread returning home
 family , game-show ,tell truth one mark goodson production durable format represented fourth revival popular game show format remained samethree contestant claim associated story read affidavit start game one actually person claim two lying four celebrity panelist one time question three contestant addressing attempt expose liar determine telling truth four celebrity turn question team voted separately thought real person associated story payoff based team ability fool panel per incorrect vote fooled four panelist two game played per show second game new segment one one played two contestant one audience member another two story share though associated one four panelist turn ask second contestant one question regarding story audience member guess story heshe thought true audience member correct heshe contestant money th edition classic game show impostor presented announcer crossexaminers questioned vote every wrong vote worth eventually extra wrong vote wrong vote landslide came one one audience member pick true story possible profession questioned crossexaminers
 drama , short ,accident entwines life two complete stranger pohai kunda hsieh qv involved accident worried girlfriend leave behind grab random stranger ho pufan george hu qv asks tell girlfriend breaking pufan pass message dying man girlfriend hsu manman phoebe yuan qv see upset dumped something whim
 horror , drama ,life house wife chrissie michelle petersen derailed ever real dream start catastrophic effect life desperately trying convince husband michael ray calleja something strange happening left consulting psychic anxiously trying put piece together michelle embarks unexpected path leading even devastation filled twist turn movie keep scared guessing
 thriller , documentary ,film epicenter coldblooded execution yearold student alexander gregoropoulos two policeman downtown athens caf december december riot film gregoropoulos killing incident sparked riot seventy city twentytwo country worldwide including u produced directed greekborn dimitri vorris filmmaker acquired exclusive access many neverbeforeseen court document evidence trial followed gregoropouloss killing thriller focus group european american trapped arthouse movie theater downtown athens riot group european american filmgoers trapped december riot following murder yearold two policeman subterranean movie theater claustrophobic thriller exclusive never seen footage murder alexandros grigoropoulos shocked world
